arxiv	mode	bytes
2308.04737	layout	74856
2309.02407	layout	61565
2309.06853	layout	129992
2310.05219	plain	59822
2310.05715	layout	60372
2310.06698	layout	143512
2310.07600	layout	80248
2310.14756	layout	40240
2310.16682	layout	94770
2310.17076	layout	156296
2311.01269	layout	51661
2311.04269	layout	97659
2311.05209	layout	64197
2401.02532	layout	80869
2401.04880	layout	67487
2401.12460	layout	145654
2402.08723	layout	111256
2403.02391	layout	162794
2403.05223	layout	137671
2403.07795	layout	63394
2403.10601	layout	78135
2403.15090	layout	73180
2403.16700	layout	76949
2404.04757	layout	67847
2404.05410	layout	84100
2404.05947	layout	164357
2404.07869	layout	98589
2404.15902	plain	48054
2405.12745	layout	87165
2405.13908	layout	37125
2405.19397	layout	73198
2405.20384	layout	91731
2406.18971	layout	81748
2407.00222	layout	118035
2407.07145	layout	84034
2407.07640	layout	119018
2407.14187	layout	37618
2408.07625	layout	160719
2408.15715	layout	32014
2409.03825	layout	126877
2409.08816	layout	161089
2409.09576	layout	39128
2410.02215	layout	68367
2410.10385	layout	139171
2410.10720	layout	212781
2410.16680	layout	34023
2410.23152	layout	177308
2411.03429	layout	302675
2411.10078	layout	75142
2411.10430	layout	66600
2412.04702	layout	69734
2412.11778	layout	82283
2412.11830	layout	71117
2501.00096	layout	312127
2501.08327	layout	123196
2501.10320	layout	196648
2501.15350	layout	82482
2502.00109	layout	62398
2502.04866	layout	76500
2502.05383	layout	115681
2502.13223	layout	146273
2502.13454	layout	111226
2502.14091	layout	52219
2502.17144	layout	133707
2503.02848	layout	134257
2503.05353	layout	113657
2503.07689	layout	54899
2503.09695	layout	95837
2503.10462	layout	44623
2503.12557	layout	120009
2503.14131	layout	107167
2503.20122	layout	97865
2503.23704	layout	45125
2504.01269	layout	48597
2504.06087	layout	109288
2505.00767	layout	159805
2505.02900	layout	67238
2505.03466	layout	97804
2505.06798	layout	70011
2505.07627	layout	66211
2505.09762	layout	53151
2505.13352	layout	52425
2505.15677	layout	129384
2505.18250	layout	124169
2505.20406	layout	155597
2506.01891	layout	90901
2506.01915	layout	49789
2506.04401	layout	78481
2506.05848	layout	100521
2506.08329	layout	74411
2506.08908	layout	62351
2506.11222	layout	101473
2506.12391	layout	74384
2506.22414	layout	115290
2506.23550	layout	102416
2507.01856	layout	84257
2507.02644	layout	72933
2507.05061	layout	53138
2507.08073	layout	58818
2507.08080	layout	106613
2507.10287	layout	117667
2507.10471	layout	72450
2507.10705	layout	117534
2507.10835	layout	81675
2507.12722	layout	83290
2507.13877	layout	28807
2507.15668	layout	79519
2508.01072	layout	80845
2508.13314	layout	81786
2508.16720	layout	60446
2508.17292	layout	200239
2508.18465	layout	174995
2508.18683	layout	79827
2508.19248	layout	136055
2509.02658	layout	103201
2509.09189	layout	81093
2509.12431	layout	87132
2509.12679	layout	65104
2509.13746	layout	125810
2509.20199	layout	140477
2509.24865	layout	15018
2510.02051	layout	92093
2510.04907	layout	83811
2510.11710	layout	83730
2510.23704	layout	198263
2510.25539	layout	68836
2510.26906	layout	61924
2511.06623	layout	147487
2511.07566	layout	89237
2511.12966	layout	54133
2511.13667	layout	69620
2511.13827	layout	69757
2511.13978	layout	65131
2511.15678	layout	113424
2511.19340	layout	177169
2511.20388	layout	97971
2512.05749	layout	60973
2512.06768	layout	117081
2512.08624	layout	90908
2512.08768	layout	96965
2512.09584	layout	77330
2512.11632	layout	71714
2512.11670	layout	113332
2512.14414	layout	81274
2512.21503	layout	116099
2512.23237	layout	60370
2601.02555	layout	100786
2601.06939	layout	45679
2601.07800	layout	133611
2601.15169	layout	77900
2601.17718	layout	90378
2601.21310	layout	105442
2602.02665	layout	119133
2602.03031	layout	80163
2602.05664	layout	71228
2602.05901	layout	41563
2602.06387	layout	75695
2602.07522	layout	42935
2602.18213	plain	110147
2603.06306	layout	44766
2603.08081	layout	82864
2603.10998	layout	97332
2603.11189	layout	170312
2603.12022	layout	78440
2603.12313	layout	315704
2603.14425	layout	65299
2603.14775	layout	76814
2603.18148	layout	124508
2603.23887	layout	60949
2603.28486	layout	70789
2603.28871	layout	98344
2604.03737	layout	48452
2604.05032	layout	81631
2604.06741	layout	123023
2604.11880	layout	200101
2604.12638	layout	128477
2604.14733	layout	64094
2604.15768	layout	108127
2604.18357	layout	134958
2604.21978	layout	76672
2604.25775	layout	87264
2605.06327	layout	88808
2605.07685	layout	93304
2605.07779	layout	104873
2605.13807	layout	90971
2605.15899	layout	217278
2605.21585	layout	89298
2605.24119	layout	50890
2605.28599	layout	130449
2605.30944	layout	90839
2606.02794	layout	65906
