arxiv	doi	year	seeds	venue	title
2506.01363	10.21468/scipostphyscodeb.58	2025	ftps		Next-generation EDIpack: A Lanczos-based package for quantum impurity models featuring general broken-symmetry phases, flexible bath topologies and multi-platform interoperability
2312.04105	10.1103/physrevresearch.6.023110	2024	ftps		Comparative study on compact quantum circuits of hybrid quantum-classical algorithms for quantum impurity models
2310.10799	10.1103/tjnr-kqmk	2025	ftps		Matrix product state based band Lanczos solver for quantum cluster approaches
2402.14350	10.21468/scipostphyscore.7.3.063	2024	ftps		Efficient construction of the Feynman-Vernon influence functional as matrix product states
2206.07493	10.1103/physrevresearch.4.043082	2022	ftps		Training biases in machine learning for the analytic continuation of quantum many-body Green's functions
	10.1103/physrevb.106.035132	2022	ftps		Small moments without long-range magnetic ordering in the zero-temperature ground state of the double perovskite iridate Ba2YIrO6
2109.11935	10.1103/physrevb.105.085122	2022	ftps		Single-impurity Anderson model out of equilibrium: A two-particle semianalytic approach
2107.13941	10.1103/physrevb.105.195107	2022	ftps		Minimally entangled typical thermal state algorithms for finite temperature Matsubara Green functions
2412.13711	10.1103/g1ky-4zd7	2025	ftps		Turning qubit noise into an advantage: Automatic state preparation and long-time dynamics for impurity models on quantum computers
2107.06517	10.1103/physrevb.108.195124	2023	ftps		Natural orbital impurity solver for real-frequency properties at finite temperature
2312.13668	10.1103/physrevb.109.245113	2024	ftps		Finite-temperature minimally entangled typical thermal states impurity solver
2501.10746	10.1103/f88w-hg3j	2026	ftps		Unraveling screening mechanisms in Kondo impurities using an NRG-MPS-based method
2007.14923	10.1103/physrevb.102.245138	2020	ftps		Subbands in the doped two-orbital Kanamori-Hubbard model
2404.04757	10.1103/physrevb.110.165119	2024	ftps		Infinite Grassmann time-evolving matrix product operator method for zero-temperature equilibrium quantum impurity problems
2309.00479	10.1088/2516-1075/ad29ab	2024	ftps		Composition-driven Mott transition within SrTi 1−x V x O3
2412.04702	10.1103/g5y8-jfb2	2025	ftps		Infinite Grassmann time-evolving matrix product operators for quantum impurity problems after a quench
2503.01277	10.1088/1361-6633/add6d4	2025	ftps		Magnon damping and mode softening in quantum double-exchange ferromagnets
2507.12722	10.1103/7s3h-9crw	2025	ftps		Scalable tensor network algorithm for quantum impurity problems
2010.15797	10.1103/physrevb.104.115153	2021	ftps		Broadening and sharpening of the Drude peak through antiferromagnetic fluctuations
2204.13562	10.1103/physrevb.106.085124	2022	ftps		Pseudoparticle vertex solver for quantum impurity models
2107.13960	10.1103/physrevb.104.205120	2021	ftps		Data-driven dynamical mean-field theory: An error-correction approach to solve the quantum many-body problem using machine learning
2203.07880	10.21468/scipostphys.14.1.010	2023	ftps		Formation of CuO$_2$ sublattices by suppression of interlattice correlations in tetragonal CuO
2410.00497	10.1103/physrevb.111.165120	2025	ftps		Algorithm for computing perturbation series of dynamical mean field theory
2507.05580	10.1088/0256-307x/42/12/120701	2025	ftps		Tensor Network Algorithm to Solve Polaron Impurity Problems
2512.23237	10.1103/yqv4-4vjx	2026	ftps		Multiorbital dynamical mean-field theory with a complex-time solver
2601.17718	10.1103/ycty-d5f9	2026	ftps		Tree tensor network impurity solver based on Cayley-tree mapping
	10.1103/4n1t-qpm7	2026	ftps		Fermionic versus spin baths in noninteracting transport models
2509.19704	10.1103/z1c9-55ff	2026	ftps		Holographic aspects of dynamical mean-field theory
2602.05664	10.1103/svb6-63vj	2026	ftps		Steady-state study of the nonequilibrium properties of SrVO 3
