arxiv	doi	year	seeds	venue	title
2606.02794	10.48550/arxiv.2606.02794	2026	varbench	ArXiv	Scaling Laws for Neural-Network Quantum States
	10.1016/j.cam.2026.117857	2026	varbench	J. Comput. Appl. Math.	NOISE-VQA: Convergence and complexity analysis of variational quantum algorithms with finite-shot and biased oracles
2606.00924		2026	varbench		Locality-Induced Hierarchical Backflow Wavefunctions for Correlated Fermions
	10.1103/tn89-g1xz	2026	varbench	Physical Review X	Vast world of quantum advantage
2605.07621		2026	varbench		Entanglement-informed distributed wavefunction approach to scalable quantum many-body systems
2605.07779		2026	varbench		Neural network quantum states in the grand canonical ensemble
2604.22718		2026	varbench		Replica Tensor Train
2604.20961		2026	varbench		Ans\"atz Expressivity and Optimization in Variational Quantum Simulations of Transverse-field Ising Model Across System Sizes
	10.1007/s11128-026-05144-x	2026	varbench	Quantum Information Processing	Squid–transmon quantum hardware simulation with deep learning for pancreatic radiotherapy image classification
2604.01555		2026	varbench		Scalable Ground-State Certification of Quantum Spin Systems via Structured Noncommutative Polynomial Optimization
2603.25066		2026	varbench		Neural Operator Quantum State: A Foundation Model for Quantum Dynamics
2603.19081	10.1021/acs.jpclett.6c00888	2026	varbench	The Journal of Physical Chemistry Letters	Utility-Scale Quantum Computational Chemistry
2602.17662	10.22323/1.518.0137	2026	varbench	Proceedings of The 42nd International Symposium on Lattice Field Theory — PoS(LATTICE2025)	A Study of Entanglement and Ansatz Expressivity for the Transverse-Field Ising Model using Variational Quantum Eigensolver
2602.04011		2026	varbench		Approximate simulation of complex quantum circuits using sparse tensors
2602.02665		2026	varbench		Approaching the Thermodynamic Limit with Neural-Network Quantum States
2601.18812		2026	varbench		A framework to evaluate the performance of Variational Quantum Algorithms
2601.08137	10.1103/rjdv-bxgq	2026	varbench	Physical Review Applied	Dissipative ground-state preparation of a quantum spin chain on a trapped-ion quantum computer
2601.01437	10.1021/prechem.5c00445	2026	varbench	Precision Chemistry	Implicitly Restarted Lanczos Enables Chemically Accurate Shallow Neural Quantum States
2512.11339		2025	varbench		Projected Sobolev Natural Gradient Descent for Efficient Neural Network Solution of the Gross--Pitaevskii Equation
2512.04663	10.48550/arxiv.2512.04663	2025	varbench	ArXiv	Fermionic neural Gibbs states
	10.1021/acs.jpclett.5c02758	2025	varbench	The journal of physical chemistry letters	Absorption Spectra with Kernel Polynomial Neural Quantum States.
2511.12551	10.1088/1402-4896/ae6ea0	2025	varbench	Physica Scripta	Principal component analysis of competing correlations in quarter-filled Hubbard models
2511.08407	10.1103/2p2k-3j2s	2025	varbench	Physical review. E	Exploring the performance of superposition of product states: From one-dimensional to three-dimensional quantum spin systems.
2511.07092	10.48550/arxiv.2511.07092	2025	varbench	ArXiv	Sample-efficient quantum error mitigation via classical learning surrogates
	10.1109/icinvents64613.2025.11401986	2025	varbench	2025 IEEE First International Conference on Innovations in Engineering and Next-Generation Technologies for Sustainability (ICINVENTS)	Enhancing Drug Design Using Variational Quantum Eigensolver
2510.07798		2025	varbench		Efficient Matrix Product State Learning in Logarithmic Depth
2509.12679	10.1088/2632-2153/ae538f	2025	varbench	Machine Learning: Science and Technology	Large language model scaling laws for neural quantum states in quantum chemistry
2509.12323		2025	varbench		Accurate ground states of $SU(2)$ lattice gauge theory in 2+1D and 3+1D
2509.12431	10.48550/arxiv.2509.12431	2025	varbench	ArXiv	Neural-Quantum-States Impurity Solver for Quantum Embedding Problems
2509.04923	10.1038/s42254-026-00962-5	2025	varbench	Nature Reviews Physics	Artificial intelligence for representing and characterizing quantum systems
2509.02272	10.1103/bw5d-d4d6	2025	varbench	Physical Review C	Quantum simulations of Green’s functions for small superfluid systems
