arxiv	peer_reviewed	title	instance	verdict	eps	err	rel_pct	kind	convention	src	table	row_label	col_header	sizes	note	record_eps	record_method	exact_eps	caption
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_256_P_0.5	BEATS	-0.741		-49.120	variational?		pdf	1	0.875 16×16	Size	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.496914	CNN-MPS		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_100_P_0.5	BEATS	-0.742		-49.088	variational?		pdf	1	16×16 PBC	Size	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4976939	CNN-MPS (h,D,l)=(32,20,20), Marshall sign transformation		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_100_P_0.5	BEATS	-0.7419		-49.068	variational?		pdf	1	0.875 16×16	Error	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4976939	CNN-MPS (h,D,l)=(32,20,20), Marshall sign transformation		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_100_P_0.5	BEATS	-0.7414		-48.967	variational?		pdf	1	16×16 PBC	Error	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4976939	CNN-MPS (h,D,l)=(32,20,20), Marshall sign transformation		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2104.03632	yes	Can a CNN trained on the Ising model detect the phase transition of the $q$-state Potts model?	Hubbard/square_100_P_40_4	BEATS	-1.6587		-48.963	variational?		pdf	0	10	E        M	N=10,L=10	filling=UNSTATED(instance delta=0.2000)	-1.1135	CP AFQMC with Constraint Release; no strict upper bound property		Table 1: The transition temperatures of the q-state Potts models for various q. T∗c,q, E and M, respectively, denote the temperature, internal energy, and magnetization of the image for which the CNN outputs T CNNc = 1.1209. That is, these are the quantities of the generated image that the CNN predi
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_64_P_28_8	BEATS	-1.1109		-48.954	variational?		pdf	1	80/100 4 10×10 PBC	Condition	10x10,12x12,8x8	filling=UNSTATED(instance delta=0.1250)	-0.7458	Jastrow-backflow (JBf), 8x8 torus		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.55	BEATS	-0.7275		-48.953	variational?		pdf	1	10 16×16 A NA PBC	Error	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.55)	-0.48841	VMC + 2 Lanczos steps		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_100_P_0.5	BEATS	-0.741		-48.887	variational?		pdf	1	0.875 16×16	Size	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.4976939	CNN-MPS (h,D,l)=(32,20,20), Marshall sign transformation		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_64_P_28_8	BEATS	-1.110244		-48.866	variational?		pdf	1	116/144 12×12	Condition	12x12,8x8,10x10	filling=UNSTATED(instance delta=0.1250)	-0.7458	Jastrow-backflow (JBf), 8x8 torus		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2510.11710	yes	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model	J1J2/square_64_P_0.55	BEATS	-0.7264	0.0005	-48.728	variational?		html	0	JBf ( 8 × 8 Cylinder)	E 0 / M	8x8,8x4	J2=UNSTATED(instance J2=0.55)	-0.48841	VMC + 2 Lanczos steps		Table 1: Converged variational energies per site for different lattices and network architectures. The left table shows results for the 8 × 4 and 8 × 8 cylinders and 8 × 8 torus lattices with U / t = 8 and n h = 1 / 8 hole doping. The right table shows results for the 8 × 8 torus with ViT and Symm-V
