score	arxiv	peer_reviewed	n_energies	n_with_errorbar	n_tables	models	journal_ref	title
6	2607.12925	no	4	0	168	kagome+triangular+pyrochlore+TFIsing		Microscopic Spin-1 Parent Hamiltonians for Emergent Valence-Bond Loop Manifolds
6	2606.16875	no	74	0	25	pyrochlore		Spin-orbit-entangled $J_{\rm eff}=\frac{1}{2}$ magnetism and unconventional spin freezing in the bond-disordered pyrochlore antiferromagnet NaCdCo$_2$F$_7$
6	2603.12313	no	0	0	88	kagome+triangular+pyrochlore+TFIsing		Fracton Spin Liquid and Exotic Frustrated Phases in Ising-like Octochlore Magnets
6	2512.08768	no	0	0	77	kagome+triangular+J1J2		Triangular $J_1$-$J_2$ Heisenberg Antiferromagnet in a Magnetic Field
6	2511.15678	no	0	0	11	kagome+triangular+pyrochlore		Intrinsic quantum disorder in Yb2Ti2O7 and the quantum S=1/2 pyrochlore phase diagram
6	2510.23704	no	0	0	61	kagome+triangular+pyrochlore		Exact nematic and mixed magnetic phases driven by competing orders on the pyrochlore lattice
6	2507.13877	no	0	0	4	triangular+pyrochlore+Shastry		Exact ground state on the 3D analogue of the Shastry-Sutherland model
6	2503.23704	no	4	0	2	kagome+triangular+pyrochlore		Paramagnetic half-moon shaped diffuse scattering arising from 3D magnetic frustration
6	2609.05556	no	0	0	11	kagome+triangular+Hubbard+Shastry+TFIsing+square-Heis		Kibble-Zurek Dynamics in Two-dimensional Frustrated Systems with a Neural Foundation-state Subspace Method
6	2603.18148	no	0	0	67	triangular+Hubbard+tV+TFIsing		Removing nodal and support-mismatch pathologies in Variational Monte Carlo via blurred sampling
6	2508.01072	no	0	0	32	pyrochlore+Hubbard+TFIsing		Biorthogonal Neural Network Approach to Two-Dimensional Non-Hermitian Systems
5	2506.01891	no	0	0	27	J1J2+TFIsing		Probing Quantum Spin Systems with Kolmogorov-Arnold Neural Network Quantum States
5	2607.18865	no	4	0	38	J1J2		Enhanced Neural Quantum State via Annealed Gradient Descent
5	2606.02794	no	0	0	8	kagome+triangular+J1J2+Hubbard+Shastry		Scaling Laws for Neural-Network Quantum States
5	2605.30944	yes	0	0	37		Physics Letters B 881 (2026) 140911	Neural-network excited states of $A=4$ nuclei and hypernuclei
5	2607.02292	no	0	0	106	J1J2+TFIsing		One More Time: Revisiting Neural Quantum States from a Reinforcement Learning Perspective
5	2507.05061	yes	0	0	0	kagome+triangular+pyrochlore	Phys. Rev. B (Letter), 113, L100404 (2026)	Spin liquid state in a three-dimensional pyrochlore-like frustrated magnet
5	2501.08327	yes	0	0	13	pyrochlore	Physical Review Letters 135, 086702 (2025)	Two-Peak Heat Capacity Accounts for $R\ln(2)$ Entropy and Ground State Access in the Dipole-Octupole Pyrochlore Ce$_2$Hf$_2$O$_7$
5	2609.06672	no	0	0	25	J1J2+TFIsing		Efficient Representation of multicategorical local Hilbert spaces: nonlinear Restricted Boltzmann Machines to Kolmogorov-Arnold Networks
5	2608.02753	no	0	0	24	triangular+Hubbard		Large scale neural quantum states reveal the interplay between superconductivity and quantum criticality in the Hofstadter-Hubbard model
5	2607.22522	no	0	0	86	triangular+J1J2+Hubbard		Exact Neural-Network Representations of the Motzkin States
5	2607.14875	no	0	0	46	triangular+Hubbard		Optimization dynamics of Transformer backflow neural quantum states for the two-dimensional Hubbard model
5	2606.22644	no	0	0	30	J1J2+Shastry		Neural Polaron: Learning Quasiparticle Operators in Quantum Many-Body Systems
5	2606.05293	no	0	0	20	Hubbard+Shastry+TFIsing		Thermalization Dynamics in the Two-Dimensional Hubbard Model with Neural-Network Quantum States
5	2604.18357	no	0	0	149	Hubbard+TFIsing		Momentum Stability and Adaptive Control in Stochastic Reconfiguration
5	2604.15768	no	0	0	8	triangular+J1J2		A Fully GPU-Accelerated Framework for High-Performance Configuration Interaction Selection with Neural Network Quantum States
5	2603.28871	no	0	0	16	triangular+pyrochlore+Hubbard		Fractionalization from Kinetic Frustration in Doped Two-Dimensional SU(4) Quantum Magnets
5	2509.20199	no	0	0	18	kagome+triangular+pyrochlore+J1J2		Random singlet physics in the $S = \frac{1}{2}$ pyrochlore antiferromagnet NaCdCu$_2$F$_7$
4	2605.28861	no	0	0	3	kagome		Comment on "Spin-1/2 Kagome Heisenberg Antiferromagnet: Machine Learning Discovery of the Spinon Pair-Density-Wave Ground State"
4	2608.15806	no	0	0	7	TFIsing		Longitudinal-Field-Driven Transition in a non-integrable Non-Hermitian Transverse-Field Ising Chain via RBMs
4	2608.14476	no	0	0	104	tV		A Fixed Universal Determinant is Variationally Complete for Continuum Fermions
4	2605.07779	no	0	0	96	Hubbard		Neural network quantum states in the grand canonical ensemble
